pmid,title_e,journal,abstract,topic
34994327,Nucleic Acid-Based Vaccines Platform Against Covid-19 Pandemic.,Curr Mol Med,"BACKGROUND: Severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) has affected millions of people globally, in this regard, known as a pandemic by the World Health Organization (WHO). There is sufficient scientific evidence that a preventive COVID-19 vaccine is the most effective approach to combat with COVID-19 pandemic, therefore there is an essential need for safe and protective vaccines to fight it. METHODS: Global efforts in developing a vaccine against COVID-19 have resulted in the development of different vaccine platforms with various safety and efficacy including live-attenuated vaccines, inactivated vaccines, subunit vaccines, and nucleic acid-based vaccines against coronavirus disease 2019 (COVID-19). Nucleic acid-based vaccines consist of mRNA and DNA vaccines have shown promising results in stimulating cellular and humoral immune responses properly against COVID-19, which their rapid and easy manufacturing process compared to others have made them considerable. mRNA-based vaccines platform by Pfizer/BioNtech and Moderna companies are the first approved vaccines for emergency use against COVID-19. RESULTS: This narrative review highlights the recent advances in developing nucleic acid-based vaccines for COVID-19. CONCLUSION: The fast global dissemination of the coronavirus has highlighted the urgent necessity to build an efficient vaccine to inhibit disease. Cooperative attempts throughout the world have paid to the fast and unprecedented production of vaccines. Much needs to be learned regarding SARSCoV-2 and vaccine development against it.",medicine
34994081,Decreased memory B cells frequencies in COVID-19 Delta variant vaccine breakthrough infection.,EMBO Mol Med,"The SARS-CoV-2 Delta (B.1.617.2) variant is capable of infecting vaccinated persons. An open question remains as to whether deficiencies in specific vaccine-elicited immune responses result in susceptibility to vaccine breakthrough infection. We investigated 55 vaccine breakthrough infection cases (mostly Delta) in Singapore, comparing them against 86 vaccinated close contacts who did not contract infection. Vaccine breakthrough cases showed lower memory B cell frequencies against SARS-CoV-2 receptor binding domain (RBD). Compared to plasma antibodies, antibodies secreted by memory B cells retained a higher fraction of neutralizing properties against the Delta variant. Inflammatory cytokines including IL-1beta and TNF were lower in vaccine breakthrough infections than primary infection of similar disease severity, underscoring the usefulness of vaccination in preventing inflammation. This report highlights the importance of memory B cells against vaccine breakthrough, and suggests that lower memory B cell levels may be a correlate of risk for Delta vaccine breakthrough infection.",medicine
34993873,"Type 2 Diabetes Management, Control and Outcomes During the COVID-19 Pandemic in Older US Veterans: an Observational Study.",J Gen Intern Med,"BACKGROUND: The COVID-19 pandemic required a change in outpatient care delivery models, including shifting from in-person to virtual visits, which may have impacted care of vulnerable patients. OBJECTIVE: To describe the changes in management, control, and outcomes in older people with type 2 diabetes (T2D) associated with the shift from in-person to virtual visits. DESIGN AND PARTICIPANTS: In veterans aged >/= 65 years with T2D, we assessed the rates of visits (in person, virtual), A1c measurements, antidiabetic deintensification/intensification, ER visits and hospitalizations (for hypoglycemia, hyperglycemia, other causes), and A1c level, in March 2020 and April-November 2020 (pandemic period). We used negative binomial regression to assess change over time (reference: pre-pandemic period, July 2018 to February 2020), by baseline Charlson Comorbidity Index (CCI; > 2 vs. <= 2) and A1c level. KEY RESULTS: Among 740,602 veterans (mean age 74.2 [SD 6.6] years), there were 55% (95% CI 52-58%) fewer in-person visits, 821% (95% CI 793-856%) more virtual visits, 6% (95% CI 1-11%) fewer A1c measurements, and 14% (95% CI 10-17%) more treatment intensification during the pandemic, relative to baseline. Patients with CCI > 2 had a 14% (95% CI 12-16%) smaller relative increase in virtual visits than those with CCI <= 2. We observed a seasonality of A1c level and treatment modification, but no association of either with the pandemic. After a decrease at the beginning of the pandemic, there was a rebound in other-cause (but not hypo- and hyperglycemia-related) ER visits and hospitalizations from June to November 2020. CONCLUSION: Despite a shift to virtual visits and a decrease in A1c measurement during the pandemic, we observed no association with A1c level or short-term T2D-related outcomes, providing some reassurance about the adequacy of virtual visits. Further studies should assess the longer-term effects of shifting to virtual visits in different populations to help individualize care, improve efficiency, and maintain appropriate care while reducing overuse.",medicine
34993862,Association of Race and Neighborhood Disadvantage with Patient Engagement in a Home-Based COVID-19 Remote Monitoring Program.,J Gen Intern Med,"BACKGROUND: COVID-positive outpatients may benefit from remote monitoring, but such a program often relies on smartphone apps. This may introduce racial and socio-economic barriers to participation. Offering multiple methods for participation may address these barriers. OBJECTIVES: (1) To examine associations of race and neighborhood disadvantage with patient retention in a monitoring program offering two participation methods. (2) To measure the association of the program with emergency department visits and hospital admissions. DESIGN: Retrospective propensity-matched cohort study. PARTICIPANTS: COVID-positive outpatients at a single university-affiliated healthcare system and propensity-matched controls. INTERVENTIONS: A home monitoring program providing daily symptom tracking via patient portal app or telephone calls. MAIN MEASURES: Among program enrollees, retention (until 14 days, symptom resolution, or hospital admission) by race and neighborhood disadvantage, with stratification by program arm. In enrollees versus matched controls, emergency department utilization and hospital admission within 30 days. KEY RESULTS: There were 7592 enrolled patients and 9710 matched controls. Black enrollees chose the telephone arm more frequently than White enrollees (68% versus 44%, p = 0.009), as did those from more versus less disadvantaged neighborhoods (59% versus 43%, p = 0.02). Retention was similar in Black enrollees and White enrollees (63% versus 62%, p = 0.76) and in more versus less disadvantaged neighborhoods (63% versus 62%, p = 0.44). When stratified by program arm, Black enrollees had lower retention than White enrollees in the app arm (49% versus 55%, p = 0.01), but not in the telephone arm (69% versus 71%, p = 0.12). Compared to controls, enrollees more frequently visited the emergency department (HR 1.71 [95% CI 1.56-1.87]) and were admitted to the hospital (HR 1.16 [95% CI 1.02-1.31]). CONCLUSIONS: In a COVID-19 remote patient monitoring program, Black enrollees preferentially selected, and had higher retention in, telephone- over app-based monitoring. As a result, overall retention was similar between races. Remote monitoring programs with multiple modes may reduce barriers to participation.",medicine
34993856,Healthcare Worker Mental Health After the Initial Peak of the COVID-19 Pandemic: a US Medical Center Cross-Sectional Survey.,J Gen Intern Med,"BACKGROUND: There is a paucity of data on the mental health impact of the Coronavirus disease 2019 (COVID-19) pandemic on United States (US) healthcare workers (HCWs) after the first surge in the spring of 2020. OBJECTIVE: To determine the impact of the pandemic on HCWs, and the relationship between HCW mental health and demographics, occupational factors, and COVID-19 concerns. DESIGN: Cross-sectional survey in an urban medical center (September-November 2020) in Baltimore, MD, in the United States. PARTICIPANTS: A total of 605 HCWs (physicians, nurse practitioners, nurses, physician assistants, patient care technicians, respiratory therapists, social workers, mental health therapists, and case managers). MAIN MEASURES: Measures of mental health (Patient Health Questionnaire-2, Generalized Anxiety Disorder-7, PROMIS Sleep Disturbance 4a, Impact of Event Scale-Revised, Maslach Burnout Inventory-2 item, Connor-Davidson Resilience Scale-2 item), demographics, occupational factors, and COVID-19 related concerns. KEY RESULTS: Fifty-two percent of 1198 HCWs responded to the survey and 14.2% reported depression, 43.1% mild or higher anxiety, 31.6% sleep disturbance, 22.3% posttraumatic stress symptoms, 21.6% depersonalization, 46.0% emotional exhaustion, and 23.1% lower resilience. Relative to HCWs providing in-person care to COVID-19 infected patients none of their working days, those doing so all or most days were more likely to experience worse depression (adjusted odds ratio, 3.9; 95% CI, 1.3-11.7), anxiety (aOR, 3.0; 95% CI, 1.4-6.3), possible PTSD symptoms (aOR, 2.6; 95% CI, 1.1-5.8), and higher burnout (aOR, 2.6; 95% CI, 1.1-6.0). Worse mental health in several domains was associated with higher health fear (aORs ranged from 2.2 to 5.0), job stressors (aORs ranged from 1.9 to 4.0), perceived social stigma/avoidance (aORs ranged from 1.8 to 2.9), and workplace safety concerns (aORs ranged from 1.8 to 2.8). CONCLUSIONS: US HCWs experienced significant mental health symptoms eight months into the pandemic. More time spent providing in-person care to COVID-19-infected patients and greater COVID-19-related concerns were consistently associated with worse mental health.",medicine
34993853,An Analysis COVID-19 in Mexico: a Prediction of Severity.,J Gen Intern Med,"BACKGROUND: Coronavirus disease 2019 (COVID-19) causes a mild illness in most cases; forecasting COVID-19-associated mortality and the demand for hospital beds and ventilators are crucial for rationing countries' resources. OBJECTIVE: To evaluate factors associated with the severity of COVID-19 in Mexico and to develop and validate a score to predict severity in patients with COVID-19 infection in Mexico. DESIGN: Retrospective cohort. PARTICIPANTS: We included 1,435,316 patients with COVID-19 included before the first vaccine application in Mexico; 725,289 (50.5%) were men; patient's mean age (standard deviation (SD)) was 43.9 (16.9) years; 21.7% of patients were considered severe COVID-19 because they were hospitalized, died or both. MAIN MEASURES: We assessed demographic variables, smoking status, pregnancy, and comorbidities. Backward selection of variables was used to derive and validate a model to predict the severity of COVID-19. KEY RESULTS: We developed a logistic regression model with 14 main variables, splines, and interactions that may predict the probability of COVID-19 severity (area under the curve for the validation cohort = 82.4%). CONCLUSIONS: We developed a new model able to predict the severity of COVID-19 in Mexican patients. This model could be helpful in epidemiology and medical decisions.",medicine
34993740,Multi-scale mechanism of antiviral drug-alike phytoligands from Ayurveda in managing COVID-19 and associated metabolic comorbidities: insights from network pharmacology.,Mol Divers,"The novel coronavirus disease (COVID-19), which emerged in Wuhan, China, is continuously spreading worldwide, creating a huge burden on public health and economy. Ayurveda, the oldest healing schema of Traditional Indian Medicinal (TIM) system, is considered as a promising CAM therapy to combat various diseases/ disorders. To explore the regulatory mechanisms of 3038 Ayurvedic herbs (AHs) against SARS-CoV-2, in this study, multi-targeting and synergistic actions of constituent 34,472 phytochemicals (APCs) are investigated using a comprehensive approach comprising of network pharmacology and molecular docking. Immunomodulatory prospects of antiviral drug-alike potentially effective phytochemicals (PEPs) are presented as a special case study, highlighting the importance of 6 AHs in eliciting the antiviral immunity. By evaluating binding affinity of 292 PEPs against 24 SARS-CoV-2 proteins, we develop and analyze a high-confidence ""bi-regulatory network"" of 115 PEPs having ability to regulate protein targets in both virus and its host human system. Furthermore, mechanistic actions of PEPs against cardiovascular complications, diabetes mellitus and hypertension are also investigated to address the regulatory potential of AHs in dealing with COVID-19-associated metabolic comorbidities. The study further reports 12 PEPs as promising source of COVID-19 comorbidity regulators.",medicine
34993712,"Essential metals, vitamins and antioxidant enzyme activities in COVID-19 patients and their potential associations with the disease severity.",Biometals,"The role of micronutrient deficiency in the pathogenesis of COVID-19 has been reviewed in the literature; however, the data are limited and conflicting. This study investigated the association between the status of essential metals, vitamins, and antioxidant enzyme activities in COVID-19 patients and disease severity. We recruited 155 patients, who were grouped into four classes based on the Adults guideline for the Management of Coronavirus Disease 2019 at King Faisal Specialist & Research Centre (KFSH&RC): asymptomatic (N = 16), mild (N = 49), moderate (N = 68), and severe (N = 22). We measured serum levels of copper (Cu), zinc (Zn), selenium (Se), vitamin D3, vitamin A, vitamin E, total antioxidant capacity, and superoxide dismutase (SOD). Among the patients, 30%, 25%, 37%, and 68% were deficient in Se (< 70.08 microg/L), Zn (< 0.693 microg/mL), vitamin A (< 0.343 microg/mL), and vitamin D3 (< 20.05 microg/L), respectively, and SOD activity was low. Among the patients, 28% had elevated Cu levels (> 1.401 microg/mL, KFSH&RC upper reference limit). Multiple regression analysis revealed an 18% decrease in Se levels in patients with severe symptoms, which increased to 30% after adjusting the model for inflammatory markers. Regardless of inflammation, Se was independently associated with COVID-19 severity. In contrast, a 50% increase in Cu levels was associated with disease severity only after adjusting for C-reactive protein, reflecting its possible inflammatory and pro-oxidant role in COVID-19 pathogenesis. We noted an imbalance in the ratio between Cu and Zn, with ~ 83% of patients having a Cu/Zn ratio > 1, which is an indicator of inflammation. Cu-to-Zn ratio increased to 45% in patients with mild symptoms and 34%-36% in patients with moderate symptoms compared to asymptomatic patients. These relationships were only obtained when one of the laboratory parameters (lymphocyte or monocyte) or inflammatory markers (neutrophil-to-lymphocyte ratio) was included in the regression model. These findings suggest that Cu/Zn might further exacerbate inflammation in COVID-19 patients and might be synergistically associated with disease severity. A 23% decrease in vitamin A was seen in patients with severe symptoms, which disappeared after adjusting for inflammatory markers. This finding may highlight the potential role of inflammation in mediating the relationship between COVID-19 severity and vitamin A levels. Despite our patients' low status of Zn, vitamin D3, and antioxidant enzyme (SOD), there is no evidence of their role in COVID-19 progression. Our findings reinforce that deficiency or excess of certain micronutrients plays a role in the pathogenesis of COVID-19. More studies are required to support our results.",medicine
34993416,Repurposable drugs for SARS-CoV-2 and influenza sepsis with scRNA-seq data targeting post-transcription modifications.,Precis Clin Med,"Coronavirus disease 2019 (COVID-19) has impacted almost every part of human life worldwide, posing a massive threat to human health. The lack of time for new drug discovery and the urgent need for rapid disease control to reduce mortality have led to a search for quick and effective alternatives to novel therapeutics, for example drug repurposing. To identify potentially repurposable drugs, we employed a systematic approach to mine candidates from U.S. FDA-approved drugs and preclinical small-molecule compounds by integrating gene expression perturbation data for chemicals from the Library of Integrated Network-Based Cellular Signatures project with a publicly available single-cell RNA sequencing dataset from patients with mild and severe COVID-19 (GEO: GSE145926, public data available and accessed on 22 April 2020). We identified 281 FDA-approved drugs that have the potential to be effective against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection, 16 of which are currently undergoing clinical trials to evaluate their efficacy against COVID-19. We experimentally tested and demonstrated the inhibitory effects of tyrphostin-AG-1478 and brefeldin-a, two chemical inhibitors of glycosylation (a post-translational modification) on the replication of the single-stranded ribonucleic acid (ssRNA) virus influenza A virus as well as on the transcription and translation of host cell cytokines and their regulators (IFNs and ISGs). In conclusion, we have identified and experimentally validated repurposable anti-SARS-CoV-2 and IAV drugs using a systems biology approach, which may have the potential for treating these viral infections and their complications (sepsis).",medicine
34993277,A Phenomenological Content Analysis of Elder Abuse during COVID-19 Pandemic in India.,Gerontol Geriatr Med,"The entire globe has been fighting the COVID-19 pandemic for the last two years including India. It has resulted in a slew of social problems for the millions of people in society. Elder abuse is one of them. Elder abuse due to COVID-19 pandemic is a matter of grave concern in Indian society. Today, due to COVID-19 pandemic, older people are facing social rejection, mental torture and abusive behaviour by family members, relatives, neighbours and caregivers. The objectives of present study are to examine the nature of elder abuse due to COVID-19 pandemic under the theoretical framework of anomie theory and to explore its outcome on the well-being of older people. The study uses phenomenological content analysis method. The information has been gathered from many Indian newspapers, magazines and news portals. The researchers examined the content of news stories about elder abuse that were published between 1 April 2021 and 15 May, 2021 and analysed the results. The study finds that older people have been abused due to fear of COVID-19 infection, poor financial condition and irresponsibility of caregivers. Most often, elders suffer abuse at the hands of their loved ones, neighbours and caregivers.",medicine
